summoner_name,summoner_champ,summoner_win,same_team_champs,opposite_team_champs,account_id,match_id,game_version
sleepo mode,Dr. Mundo,True,"['Miss Fortune', 'Lux', 'Annie', 'Hecarim']","['Jhin', 'Master Yi', 'Fizz', 'Sejuani', 'Anivia']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3035308328,9.9.272.4950
sleepo mode,Lux,True,"['Annie', 'Caitlyn', 'Darius', 'Nocturne']","['Lee Sin', 'Fiora', 'Ezreal', 'Karthus', 'Thresh']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3034927976,9.9.272.4950
sleepo mode,Xayah,False,"['Ezreal', 'Ashe', 'Annie', 'Rammus']","['Riven', 'Ryze', 'Nidalee', 'Jhin', 'Bard']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3034514367,9.9.272.4950
sleepo mode,Vladimir,True,"['Ezreal', 'Thresh', 'Annie', 'Nocturne']","['Garen', 'Shaco', 'Lux', 'Neeko', 'Miss Fortune']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3034424993,9.9.272.4950
sleepo mode,Akali,True,"['Soraka', 'Vayne', 'Yorick', 'Rammus']","['Riven', 'Udyr', 'Caitlyn', 'Ekko', 'Nautilus']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3032303549,9.8.270.9450
sleepo mode,LeBlanc,False,"['Sona', 'Kennen', 'Sivir', 'Master Yi']","['Vladimir', 'Caitlyn', 'Thresh', 'Ekko', 'Skarner']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3032258626,9.8.270.9450
sleepo mode,Gangplank,False,"['Caitlyn', 'Amumu', 'Thresh', 'Ekko']","['Nami', 'Irelia', 'Sejuani', 'Vayne', 'Aatrox']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3031433342,9.8.270.9450
sleepo mode,LeBlanc,True,"['Nami', 'Yorick', 'Jax', 'Ezreal']","['Varus', 'Kayle', 'Katarina', ""Kha'Zix"", 'Nautilus']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3031415862,9.8.270.9450
sleepo mode,LeBlanc,True,"['Karthus', 'Twitch', 'Nasus', 'Pyke']","['Ezreal', 'Blitzcrank', 'Shaco', 'Jax', 'Malzahar']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030838858,9.8.270.9450
sleepo mode,Pantheon,False,"[""Rek'Sai"", 'Twisted Fate', 'Lucian', ""Vel'Koz""]","['Morgana', 'Draven', ""Cho'Gath"", 'Nunu', 'Dr. Mundo']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030850555,9.8.270.9450
sleepo mode,Ryze,True,"['Ekko', 'Talon', 'Sivir', ""Vel'Koz""]","['Ahri', 'Kaisa', 'Thresh', 'Kayn', 'Hecarim']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030821791,9.8.270.9450
sleepo mode,LeBlanc,True,"['Jayce', 'Rammus', 'Ziggs', 'Brand']","['Miss Fortune', 'Pyke', 'Diana', 'Kindred', 'Vladimir']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030711004,9.8.270.9450
sleepo mode,Akali,False,"['Rakan', 'Xayah', 'Taliyah', 'Kindred']","['Yasuo', 'Kayle', 'Hecarim', 'Draven', 'Thresh']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030701318,9.8.270.9450
sleepo mode,Vladimir,True,"['Anivia', 'Miss Fortune', 'Nautilus', 'Nocturne']","['Ezreal', 'Garen', 'Janna', 'Ivern', 'Zed']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030680281,9.8.270.9450
sleepo mode,Fiora,False,"['Lux', 'Vayne', 'Hecarim', 'Annie']","['Miss Fortune', 'Tryndamere', 'Thresh', 'Lissandra', 'Evelynn']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030656338,9.8.270.9450
sleepo mode,Blitzcrank,False,"['Jarvan IV', 'Rumble', 'Yasuo', 'Miss Fortune']","['Leona', 'Camille', 'Irelia', 'Syndra', 'Lee Sin']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030364137,9.8.270.9450
sleepo mode,Nautilus,True,"['Ashe', 'Lux', 'Kled', 'Udyr']","['Illaoi', 'Janna', 'Sylas', 'Jinx', 'Master Yi']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3030326680,9.8.270.9450
sleepo mode,Morgana,False,"['Veigar', 'Ezreal', 'Illaoi', 'Kayn']","['Jinx', ""Vel'Koz"", 'Vi', 'Malzahar', 'Darius']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3029705963,9.8.270.9450
sleepo mode,Elise,False,"['Jinx', ""Vel'Koz"", 'Zed', 'Riven']","['Teemo', 'Evelynn', 'Lux', 'Caitlyn', 'Rengar']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3029687201,9.8.270.9450
sleepo mode,Vladimir,True,"['Talon', 'Nami', 'Jax', 'Ashe']","['Alistar', 'Sivir', 'Teemo', 'Ekko', 'Master Yi']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3028200010,9.8.270.9450
sleepo mode,Nautilus,False,"[""Rek'Sai"", 'Jayce', 'Zyra', 'Gangplank']","['Sivir', 'LeBlanc', 'Fiora', 'Nami', 'Kindred']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3027481463,9.8.270.9450
sleepo mode,Riven,True,"['Nidalee', 'Kaisa', 'Zed', 'Nautilus']","['Vayne', 'Nunu', 'Neeko', 'Lulu', 'Malzahar']",nYpgBEbwQiuOz5YC4j56dATL5TA9QCmw7TqZQXA8WHT-7A,3027393990,9.8.270.9450
