summoner_name,summoner_champ,summoner_win,same_team_champs,opposite_team_champs,account_id,match_id,game_version
Rawshokwave,Hecarim,True,"['Miss Fortune', 'Lux', 'Annie', 'Dr. Mundo']","['Jhin', 'Master Yi', 'Fizz', 'Sejuani', 'Anivia']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3035308328,9.9.272.4950
Rawshokwave,Nocturne,True,"['Annie', 'Caitlyn', 'Darius', 'Lux']","['Lee Sin', 'Fiora', 'Ezreal', 'Karthus', 'Thresh']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3034927976,9.9.272.4950
Rawshokwave,Rammus,False,"['Ezreal', 'Ashe', 'Annie', 'Xayah']","['Riven', 'Ryze', 'Nidalee', 'Jhin', 'Bard']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3034514367,9.9.272.4950
Rawshokwave,Nocturne,True,"['Ezreal', 'Thresh', 'Annie', 'Vladimir']","['Garen', 'Shaco', 'Lux', 'Neeko', 'Miss Fortune']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3034424993,9.9.272.4950
Rawshokwave,Rammus,True,"['Soraka', 'Vayne', 'Yorick', 'Akali']","['Riven', 'Udyr', 'Caitlyn', 'Ekko', 'Nautilus']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3032303549,9.8.270.9450
Rawshokwave,Rammus,True,"['Jayce', 'LeBlanc', 'Ziggs', 'Brand']","['Miss Fortune', 'Pyke', 'Diana', 'Kindred', 'Vladimir']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3030711004,9.8.270.9450
Rawshokwave,Kindred,False,"['Rakan', 'Xayah', 'Taliyah', 'Akali']","['Yasuo', 'Kayle', 'Hecarim', 'Draven', 'Thresh']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3030701318,9.8.270.9450
Rawshokwave,Nocturne,True,"['Anivia', 'Miss Fortune', 'Nautilus', 'Vladimir']","['Ezreal', 'Garen', 'Janna', 'Ivern', 'Zed']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3030680281,9.8.270.9450
Rawshokwave,Hecarim,False,"['Lux', 'Vayne', 'Fiora', 'Annie']","['Miss Fortune', 'Tryndamere', 'Thresh', 'Lissandra', 'Evelynn']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3030656338,9.8.270.9450
Rawshokwave,Miss Fortune,False,"['Jarvan IV', 'Rumble', 'Yasuo', 'Blitzcrank']","['Leona', 'Camille', 'Irelia', 'Syndra', 'Lee Sin']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3030364137,9.8.270.9450
Rawshokwave,Ashe,True,"['Nautilus', 'Lux', 'Kled', 'Udyr']","['Illaoi', 'Janna', 'Sylas', 'Jinx', 'Master Yi']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3030326680,9.8.270.9450
Rawshokwave,Zyra,False,"[""Rek'Sai"", 'Jayce', 'Nautilus', 'Gangplank']","['Sivir', 'LeBlanc', 'Fiora', 'Nami', 'Kindred']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3027481463,9.8.270.9450
Rawshokwave,Miss Fortune,True,"['Udyr', 'Lux', 'Thresh', 'Riven']","['Jhin', 'Gnar', 'Ahri', 'Lee Sin', 'Blitzcrank']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3025535944,9.8.270.9450
Rawshokwave,Lucian,False,"['Olaf', 'Jax', 'Blitzcrank', 'Jayce']","['Vladimir', 'Nidalee', 'Morgana', 'Ashe', 'Riven']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3025509202,9.8.270.9450
Rawshokwave,Zyra,True,"['Annie', 'Pantheon', 'Kayn', 'Yorick']","['Rengar', 'Twisted Fate', 'Morgana', 'Lucian', 'Gangplank']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3025463853,9.8.270.9450
Rawshokwave,Zyra,False,"['Annie', 'Nocturne', 'Gnar', 'Pantheon']","['Ryze', 'Irelia', 'Ekko', 'Zed', 'Xin Zhao']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3024897290,9.8.270.9450
Rawshokwave,Zyra,True,"[""Vel'Koz"", 'Amumu', 'Gnar', 'Pantheon']","['Vayne', 'Blitzcrank', 'Zac', 'Akali', 'Gangplank']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3024874745,9.8.270.9450
Rawshokwave,Zyra,True,"['Annie', 'Rumble', 'Jinx', 'Hecarim']","['Jax', 'Lucian', 'Heimerdinger', 'Braum', 'Akali']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3024716425,9.8.270.9450
Rawshokwave,Ezreal,False,"['Blitzcrank', 'Dr. Mundo', 'Ahri', 'Amumu']","['Darius', 'Fiddlesticks', 'Xerath', 'Janna', 'Vayne']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3020805355,9.7.269.2391
Rawshokwave,Blitzcrank,False,"[""Vel'Koz"", 'Fiora', 'Sivir', 'Jarvan IV']","['Vayne', 'Ezreal', 'Udyr', 'Riven', 'Morgana']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3019716076,9.7.269.2391
Rawshokwave,Morgana,True,"['Jax', 'Annie', 'Gnar', 'Lucian']","['Azir', 'Renekton', 'Rakan', 'Caitlyn', ""Rek'Sai""]",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3019708685,9.7.269.2391
Rawshokwave,Zyra,False,"['Annie', 'Fiora', 'Draven', 'Nasus']","['Xayah', 'Brand', 'Fizz', ""Rek'Sai"", 'Renekton']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3019681459,9.7.269.2391
Rawshokwave,Morgana,False,"['Varus', 'Fizz', 'Malphite', 'Kayn']","['Jinx', 'Udyr', 'Orianna', 'Pantheon', 'Zilean']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3019552773,9.7.269.2391
Rawshokwave,Zyra,True,"['Jinx', 'Akali', 'Warwick', 'Jax']","['Kaisa', 'Ahri', 'Blitzcrank', 'Urgot', 'Evelynn']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3019515183,9.7.269.2391
Rawshokwave,Miss Fortune,True,"['Blitzcrank', 'Orianna', 'Yorick', 'Master Yi']","['Kaisa', 'Udyr', 'Morgana', 'Yasuo', 'Ziggs']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3017558653,9.7.269.2391
Rawshokwave,Hecarim,False,"[""Cho'Gath"", 'Ryze', 'Braum', 'Kaisa']","['Thresh', 'Renekton', 'Syndra', 'Ezreal', 'Udyr']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3017539240,9.7.269.2391
Rawshokwave,Twitch,True,"['Annie', 'Jayce', 'Morgana', 'Kayn']","['Corki', 'Lucian', 'Zac', 'Braum', 'Kaisa']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3016140332,9.7.269.2391
Rawshokwave,Sona,False,"['Lux', 'Jayce', 'Taric', 'Kayle']","['Veigar', ""Rek'Sai"", 'Sivir', 'Riven', ""Vel'Koz""]",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3016112764,9.7.269.2391
Rawshokwave,Nocturne,True,"[""Vel'Koz"", 'Jayce', 'Thresh', 'Lucian']","['Varus', 'Kayle', 'Malzahar', 'Akali', 'Sylas']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3015880218,9.7.269.2391
Rawshokwave,Hecarim,True,"['Annie', 'Dr. Mundo', 'Thresh', 'Sivir']","['Vladimir', 'Kayle', 'Sylas', 'Ornn', 'Jhin']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3015872885,9.7.269.2391
Rawshokwave,Leona,False,"['Gragas', 'Annie', 'Rumble', 'Lucian']","['Zed', 'Renekton', 'Udyr', 'Morgana', 'Miss Fortune']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3015268257,9.7.269.2391
Rawshokwave,Nocturne,True,"['Sivir', 'Pyke', 'Dr. Mundo', 'LeBlanc']","['Xerath', 'Caitlyn', 'Teemo', 'Fizz', 'Jax']",ib4o9aTcdb4LiPzrkQe2FG4-3LC1zXyS8NL4v8wa4qS59Q,3014547822,9.7.269.2391
